Date,Date,spread_10_2,spread_10_3,Adj Close
2015-03-13,2015-03-13,1.4499999999999997,2.1,14.641571
2015-03-16,2015-03-16,1.44,2.0500000000000003,14.907659
2015-03-17,2015-03-17,1.36,2.0100000000000002,14.894011
2015-03-18,2015-03-18,1.3599999999999999,1.9,14.771204
2015-03-19,2015-03-19,1.35,1.95,14.798497
2015-03-20,2015-03-20,1.33,1.92,14.941772
2015-03-23,2015-03-23,1.3199999999999998,1.89,14.941772
2015-03-24,2015-03-24,1.2999999999999998,1.8599999999999999,14.996349
2015-03-25,2015-03-25,1.3399999999999999,1.89,14.771204
2015-03-26,2015-03-26,1.4,1.9799999999999998,14.62793
2015-03-27,2015-03-27,1.37,1.91,14.464184
2015-03-30,2015-03-30,1.38,1.92,14.62793
2015-03-31,2015-03-31,1.38,1.91,14.675685
2015-04-01,2015-04-01,1.32,1.84,14.518763
2015-04-02,2015-04-02,1.3699999999999999,1.9,14.709802
2015-04-06,2015-04-06,1.41,1.89,14.668864
2015-04-07,2015-04-07,1.3699999999999999,1.8699999999999999,14.70298
2015-04-08,2015-04-08,1.38,1.89,15.003182
2015-04-09,2015-04-09,1.41,1.94,15.105522
2015-04-10,2015-04-10,1.3900000000000001,1.94,15.173749
2015-04-13,2015-04-13,1.4,1.91,15.221507
2015-04-14,2015-04-14,1.3699999999999999,1.88,15.098697
2015-04-15,2015-04-15,1.4,1.89,15.201037
2015-04-16,2015-04-16,1.4,1.88,15.064585
2015-04-17,2015-04-17,1.36,1.86,15.010002
2015-04-20,2015-04-20,1.3499999999999999,1.8699999999999999,15.105522
2015-04-21,2015-04-21,1.3699999999999999,1.89,15.057758
2015-04-22,2015-04-22,1.42,1.96,15.064585
2015-04-23,2015-04-23,1.41,1.93,15.173749
2015-04-24,2015-04-24,1.39,1.9,15.310204
2015-04-27,2015-04-27,1.4,1.92,15.125987
2015-04-28,2015-04-28,1.44,1.98,15.139634
2015-04-29,2015-04-29,1.5,2.0500000000000003,15.132812
2015-04-30,2015-04-30,1.4699999999999998,2.04,14.982708
2015-05-01,2015-05-01,1.52,2.1100000000000003,15.078229
2015-05-04,2015-05-04,1.56,2.14,15.276092
2015-05-05,2015-05-05,1.5699999999999998,2.18,15.371605
2015-05-06,2015-05-06,1.6,2.23,15.35796
2015-05-07,2015-05-07,1.5500000000000003,2.1700000000000004,15.63087
2015-05-08,2015-05-08,1.5700000000000003,2.1500000000000004,15.678631
2015-05-11,2015-05-11,1.6599999999999997,2.26,15.746855
2015-05-12,2015-05-12,1.67,2.25,15.705923
2015-05-13,2015-05-13,1.6800000000000002,2.25,15.637691
2015-05-14,2015-05-14,1.67,2.22,15.63087
2015-05-15,2015-05-15,1.59,2.12,15.43301
2015-05-19,2015-05-19,1.6400000000000001,2.25,15.78097
2015-05-20,2015-05-20,1.6599999999999997,2.2399999999999998,15.651338
2015-05-21,2015-05-21,1.5899999999999999,2.17,15.7605
2015-05-22,2015-05-22,1.5699999999999998,2.19,15.637691
2015-05-26,2015-05-26,1.5,2.12,15.501236
2015-05-27,2015-05-27,1.5,2.1300000000000003,15.596757
2015-05-28,2015-05-28,1.5099999999999998,2.12,15.705923
2015-05-29,2015-05-29,1.5100000000000002,2.1100000000000003,15.57629
2015-06-01,2015-06-01,1.5499999999999998,2.17,15.651338
2015-06-02,2015-06-02,1.63,2.2600000000000002,15.699091
2015-06-03,2015-06-03,1.69,2.36,16.060705
2015-06-04,2015-06-04,1.65,2.29,16.06752
2015-06-05,2015-06-05,1.6800000000000002,2.3800000000000003,16.156218
2015-06-08,2015-06-08,1.6900000000000002,2.37,15.985653
2015-06-09,2015-06-09,1.7,2.4,16.122108
2015-06-10,2015-06-10,1.75,2.48,16.354076
2015-06-11,2015-06-11,1.6600000000000001,2.3800000000000003,16.238096
2015-06-12,2015-06-12,1.6500000000000001,2.37,16.122108
2015-06-15,2015-06-15,1.64,2.34,16.128923
2015-06-16,2015-06-16,1.6099999999999999,2.31,16.190332
2015-06-17,2015-06-17,1.65,2.31,16.197155
2015-06-18,2015-06-18,1.69,2.3400000000000003,16.23127
2015-06-19,2015-06-19,1.6099999999999999,2.25,16.156218
2015-06-22,2015-06-22,1.69,2.3600000000000003,16.238096
2015-06-23,2015-06-23,1.72,2.41,16.374546
2015-06-24,2015-06-24,1.6999999999999997,2.37,16.360899
2015-06-25,2015-06-25,1.7199999999999998,2.39,16.340433
2015-06-26,2015-06-26,1.7700000000000002,2.4800000000000004,16.292671
2015-06-29,2015-06-29,1.69,2.31,15.787788
2015-06-30,2015-06-30,1.71,2.3400000000000003,15.835554
2015-07-02,2015-07-02,1.7599999999999998,2.39,15.869666
2015-07-06,2015-07-06,1.6999999999999997,2.28,15.753678
2015-07-07,2015-07-07,1.69,2.25,15.719561
2015-07-08,2015-07-08,1.6700000000000002,2.2,15.487591
2015-07-09,2015-07-09,1.7199999999999998,2.29,15.439832
2015-07-10,2015-07-10,1.77,2.41,15.787788
2015-07-13,2015-07-13,1.75,2.42,15.937889
2015-07-14,2015-07-14,1.75,2.4000000000000004,15.896954
2015-07-15,2015-07-15,1.7199999999999998,2.34,16.060705
2015-07-16,2015-07-16,1.69,2.34,16.190332
2015-07-17,2015-07-17,1.6599999999999997,2.31,16.176685
2015-07-20,2015-07-20,1.67,2.34,16.074341
2015-07-21,2015-07-21,1.6400000000000001,2.3200000000000003,16.047052
2015-07-22,2015-07-22,1.58,2.29,15.965187
2015-07-23,2015-07-23,1.5699999999999998,2.25,15.562642
2015-07-24,2015-07-24,1.57,2.23,15.542172
2015-07-27,2015-07-27,1.5499999999999998,2.18,15.282907
2015-07-28,2015-07-28,1.5699999999999998,2.21,15.351138
2015-07-29,2015-07-29,1.59,2.23,15.678631
2015-07-30,2015-07-30,1.5599999999999998,2.21,15.767328
2015-07-31,2015-07-31,1.5300000000000002,2.12,15.808258
2015-08-04,2015-08-04,1.49,2.15,15.876488
2015-08-05,2015-08-05,1.5499999999999998,2.1999999999999997,15.890134
2015-08-06,2015-08-06,1.52,2.19,15.9106
2015-08-07,2015-08-07,1.4500000000000002,2.12,15.712745
2015-08-10,2015-08-10,1.5100000000000002,2.12,15.876488
2015-08-11,2015-08-11,1.4699999999999998,2.05,15.794615
2015-08-12,2015-08-12,1.4700000000000002,2.04,15.473944
2015-08-13,2015-08-13,1.47,2.09,15.323843
2015-08-14,2015-08-14,1.4700000000000002,2.1100000000000003,15.509463
2015-08-17,2015-08-17,1.4400000000000002,2.06,15.358216
2015-08-18,2015-08-18,1.4600000000000002,2.1300000000000003,15.1726
2015-08-19,2015-08-19,1.4500000000000002,2.0700000000000003,15.007604
2015-08-20,2015-08-20,1.4,2.07,14.670743
2015-08-21,2015-08-21,1.4099999999999997,2.02,14.065763
2015-08-24,2015-08-24,1.42,1.9499999999999997,13.7289
2015-08-25,2015-08-25,1.4500000000000002,2.0500000000000003,13.818273
2015-08-26,2015-08-26,1.5100000000000002,2.12,14.41638
2015-08-27,2015-08-27,1.5,2.12,14.760117
2015-08-28,2015-08-28,1.47,2.13,14.746367
2015-08-31,2015-08-31,1.47,2.13,14.698241
2015-09-01,2015-09-01,1.47,2.14,13.976388
2015-09-02,2015-09-02,1.4800000000000002,2.1700000000000004,14.127635
2015-09-03,2015-09-03,1.4700000000000002,2.16,14.168886
2015-09-04,2015-09-04,1.42,2.11,13.907647
2015-09-08,2015-09-08,1.4600000000000002,2.14,14.031388
2015-09-09,2015-09-09,1.46,2.18,14.079511
2015-09-10,2015-09-10,1.48,2.21,14.093261
2015-09-11,2015-09-11,1.4900000000000002,2.16,13.99014
2015-09-14,2015-09-14,1.4500000000000002,2.1100000000000003,13.921392
2015-09-15,2015-09-15,1.46,2.21,14.127635
2015-09-16,2015-09-16,1.48,2.2399999999999998,14.471376
2015-09-17,2015-09-17,1.51,2.2,14.175762
2015-09-18,2015-09-18,1.44,2.13,14.038266
2015-09-21,2015-09-21,1.4800000000000002,2.1900000000000004,14.492003
2015-09-22,2015-09-22,1.4500000000000002,2.14,14.168886
2015-09-23,2015-09-23,1.4600000000000002,2.1500000000000004,14.05889
2015-09-24,2015-09-24,1.46,2.12,14.031388
2015-09-25,2015-09-25,1.47,2.17,14.244508
2015-09-28,2015-09-28,1.4300000000000002,2.0900000000000003,13.935145
2015-09-29,2015-09-29,1.4099999999999997,2.04,13.962642
2015-09-30,2015-09-30,1.42,2.06,14.189508
2015-10-01,2015-10-01,1.4099999999999997,2.05,14.217009
2015-10-02,2015-10-02,1.4100000000000001,1.99,14.052016
2015-10-05,2015-10-05,1.46,2.06,14.313253
2015-10-06,2015-10-06,1.44,2.05,14.450752
2015-10-07,2015-10-07,1.4300000000000002,2.08,14.73262
2015-10-08,2015-10-08,1.4700000000000002,2.12,14.863236
2015-10-09,2015-10-09,1.4700000000000002,2.1100000000000003,14.835733
2015-10-13,2015-10-13,1.42,2.0500000000000003,14.82199
2015-10-14,2015-10-14,1.42,1.99,14.615745
2015-10-15,2015-10-15,1.4300000000000002,2.0300000000000002,14.492003
2015-10-16,2015-10-16,1.4300000000000002,2.0300000000000002,14.622623
2015-10-19,2015-10-19,1.4300000000000002,2.02,14.663868
2015-10-20,2015-10-20,1.42,2.06,14.856362
2015-10-21,2015-10-21,1.4,2.0300000000000002,14.938861
2015-10-22,2015-10-22,1.4300000000000002,2.04,15.1726
2015-10-23,2015-10-23,1.4299999999999997,2.08,15.42697
2015-10-26,2015-10-26,1.4099999999999997,2.05,15.227596
2015-10-27,2015-10-27,1.4,2.02,15.151981
2015-10-28,2015-10-28,1.37,2.06,15.516336
2015-10-29,2015-10-29,1.44,2.12,15.282598
2015-10-30,2015-10-30,1.4100000000000001,2.08,14.904487
2015-11-02,2015-11-02,1.4300000000000002,2.12,14.993854
2015-11-03,2015-11-03,1.43,2.17,15.021356
2015-11-04,2015-11-04,1.4100000000000001,2.2,14.904487
2015-11-05,2015-11-05,1.4099999999999997,2.21,14.828869
2015-11-06,2015-11-06,1.44,2.26,15.371975
2015-11-09,2015-11-09,1.4699999999999998,2.2199999999999998,15.200097
2015-11-10,2015-11-10,1.4499999999999997,2.19,15.200097
2015-11-12,2015-11-12,1.4299999999999997,2.1799999999999997,14.677616
2015-11-13,2015-11-13,1.42,2.1399999999999997,14.63637
2015-11-16,2015-11-16,1.3900000000000001,2.12,14.890737
2015-11-17,2015-11-17,1.3900000000000001,2.11,14.966352
2015-11-18,2015-11-18,1.37,2.15,15.083234
2015-11-19,2015-11-19,1.33,2.1300000000000003,15.241348
2015-11-20,2015-11-20,1.3299999999999996,2.1399999999999997,15.151288
2015-11-23,2015-11-23,1.31,2.11,15.012728
2015-11-24,2015-11-24,1.31,2.08,15.068151
2015-11-25,2015-11-25,1.2999999999999998,2.04,15.088937
2015-11-27,2015-11-27,1.3000000000000003,2.04,15.10279
2015-11-30,2015-11-30,1.27,1.99,15.227487
2015-12-01,2015-12-01,1.2399999999999998,1.94,15.566957
2015-12-02,2015-12-02,1.2400000000000002,1.9700000000000002,15.553107
2015-12-03,2015-12-03,1.37,2.12,15.296774
2015-12-04,2015-12-04,1.3199999999999998,2.05,15.456114
2015-12-07,2015-12-07,1.29,1.94,15.130505
2015-12-08,2015-12-08,1.3000000000000003,1.9700000000000002,14.597052
2015-12-09,2015-12-09,1.29,1.9600000000000002,14.520848
2015-12-10,2015-12-10,1.2900000000000003,2.0,14.55549
2015-12-11,2015-12-11,1.25,1.9,14.181379
2015-12-14,2015-12-14,1.26,1.97,14.105174
2015-12-15,2015-12-15,1.2999999999999998,2.03,14.326867
2015-12-16,2015-12-16,1.2799999999999998,2.03,14.569345
2015-12-17,2015-12-17,1.2400000000000002,2.0100000000000002,14.153668
2015-12-18,2015-12-18,1.22,2.0,14.21602
2015-12-21,2015-12-21,1.2400000000000002,1.9600000000000002,14.506991
2015-12-22,2015-12-22,1.2500000000000002,2.0300000000000002,14.500062
2015-12-23,2015-12-23,1.26,2.07,14.742539
2015-12-24,2015-12-24,1.22,2.05,14.714828
2015-12-29,2015-12-29,1.2299999999999998,2.09,14.777181
2015-12-30,2015-12-30,1.23,2.1,14.666338
2015-12-31,2015-12-31,1.21,2.11,14.368436
2016-01-04,2016-01-04,1.2200000000000002,2.02,14.153668
2016-01-05,2016-01-05,1.21,2.05,13.994329
2016-01-06,2016-01-06,1.1900000000000002,1.9700000000000002,13.668717
2016-01-07,2016-01-07,1.2000000000000002,1.9600000000000002,13.065993
2016-01-08,2016-01-08,1.19,1.93,13.16991
2016-01-11,2016-01-11,1.23,1.96,13.121419
2016-01-12,2016-01-12,1.19,1.9100000000000001,13.045208
2016-01-13,2016-01-13,1.17,1.86,12.830441
2016-01-14,2016-01-14,1.2000000000000002,1.85,13.03828
2016-01-15,2016-01-15,1.1799999999999997,1.7899999999999998,12.497908
2016-01-19,2016-01-19,1.1800000000000002,1.8,12.497908
2016-01-20,2016-01-20,1.1599999999999997,1.7499999999999998,12.296998
2016-01-21,2016-01-21,1.1800000000000002,1.74,12.650319
2016-01-22,2016-01-22,1.19,1.7599999999999998,12.962072
2016-01-25,2016-01-25,1.15,1.7199999999999998,12.615676
2016-01-26,2016-01-26,1.1599999999999997,1.6999999999999997,12.75424
2016-01-27,2016-01-27,1.1800000000000002,1.7,12.81659
2016-01-28,2016-01-28,1.17,1.65,13.253042
2016-01-29,2016-01-29,1.18,1.6099999999999999,13.488594
2016-02-01,2016-02-01,1.16,1.62,13.308468
2016-02-02,2016-02-02,1.12,1.53,12.615676
2016-02-03,2016-02-03,1.16,1.5499999999999998,12.58104
2016-02-04,2016-02-04,1.1700000000000002,1.58,12.927434
2016-02-05,2016-02-05,1.12,1.56,13.010568
2016-02-08,2016-02-08,1.0899999999999999,1.43,12.636462
2016-02-09,2016-02-09,1.05,1.44,12.151512
2016-02-10,2016-02-10,1.0,1.4,11.992168
2016-02-11,2016-02-11,0.9899999999999999,1.3499999999999999,10.973774
2016-02-12,2016-02-12,1.03,1.44,11.29938
2016-02-16,2016-02-16,1.04,1.48,11.521072
2016-02-17,2016-02-17,1.07,1.51,12.387057
2016-02-18,2016-02-18,1.04,1.45,12.470196
2016-02-19,2016-02-19,1.0,1.45,12.158437
2016-02-22,2016-02-22,0.99,1.44,12.315977
2016-02-23,2016-02-23,0.98,1.42,12.224955
2016-02-24,2016-02-24,1.0,1.42,12.028907
2016-02-25,2016-02-25,0.99,1.39,12.273967
2016-02-26,2016-02-26,0.96,1.43,12.526026
2016-02-29,2016-02-29,0.96,1.41,12.680066
2016-03-01,2016-03-01,0.9800000000000001,1.5,13.205193
2016-03-02,2016-03-02,0.9900000000000001,1.48,13.037153
2016-03-03,2016-03-03,0.9800000000000001,1.55,12.876115
2016-03-04,2016-03-04,0.9999999999999999,1.5899999999999999,12.904123
2016-03-07,2016-03-07,0.9999999999999999,1.5899999999999999,12.953134
2016-03-08,2016-03-08,0.9500000000000001,1.54,12.799094
2016-03-09,2016-03-09,0.9999999999999999,1.5999999999999999,12.841105
2016-03-10,2016-03-10,0.9999999999999999,1.6099999999999999,12.771088
