Date,Date,spread_10_3,Adj Close
2020-06-09,2020-06-09,0.6499999999999999,77.288055
2020-06-10,2020-06-10,0.58,75.315598
2020-06-11,2020-06-11,0.49,70.556351
2020-06-12,2020-06-12,0.5499999999999999,73.080734
2020-06-15,2020-06-15,0.53,73.921417
2020-06-16,2020-06-16,0.58,75.378723
2020-06-17,2020-06-17,0.57,74.358604
2020-06-18,2020-06-18,0.5499999999999999,73.5662
2020-06-19,2020-06-19,0.5499999999999999,72.637169
2020-06-22,2020-06-22,0.5499999999999999,72.500557
2020-06-23,2020-06-23,0.5599999999999999,72.281967
2020-06-24,2020-06-24,0.5399999999999999,70.214409
2020-06-25,2020-06-25,0.52,71.079681
2020-06-26,2020-06-26,0.5,69.667931
2020-06-29,2020-06-29,0.5,70.970383
2020-06-30,2020-06-30,0.5,71.781013
2020-07-01,2020-07-01,0.5499999999999999,73.39315
2020-07-02,2020-07-02,0.54,73.165459
2020-07-06,2020-07-06,0.5399999999999999,73.174553
2020-07-07,2020-07-07,0.5,71.781013
2020-07-08,2020-07-08,0.52,71.70816
2020-07-09,2020-07-09,0.49,71.307396
2020-07-10,2020-07-10,0.52,71.507774
2020-07-13,2020-07-13,0.5,70.62429
2020-07-14,2020-07-14,0.48,71.161644
2020-07-15,2020-07-15,0.48,71.899429
2020-07-16,2020-07-16,0.51,71.116135
2020-07-17,2020-07-17,0.53,72.00872
2020-07-20,2020-07-20,0.49,71.152565
2020-07-21,2020-07-21,0.48,71.334724
2020-07-22,2020-07-22,0.47,72.427689
2020-07-23,2020-07-23,0.47,72.05426
2020-07-24,2020-07-24,0.48,71.507774
2020-07-27,2020-07-27,0.51,72.336601
2020-07-28,2020-07-28,0.48,73.629967
2020-07-29,2020-07-29,0.47,75.278519
2020-07-30,2020-07-30,0.4600000000000001,74.895996
2020-07-31,2020-07-31,0.4600000000000001,74.741158
2020-08-03,2020-08-03,0.4600000000000001,73.766586
2020-08-04,2020-08-04,0.43000000000000005,74.695625
2020-08-05,2020-08-05,0.45000000000000007,74.413246
2020-08-06,2020-08-06,0.45000000000000007,74.422363
2020-08-07,2020-08-07,0.47,75.433372
2020-08-10,2020-08-10,0.48,75.615517
2020-08-11,2020-08-11,0.53,74.52256
2020-08-12,2020-08-12,0.58,75.242088
2020-08-13,2020-08-13,0.61,74.385948
2020-08-14,2020-08-14,0.61,74.395035
2020-08-17,2020-08-17,0.59,74.977959
2020-08-18,2020-08-18,0.5800000000000001,74.622749
2020-08-19,2020-08-19,0.5700000000000001,73.283844
2020-08-20,2020-08-20,0.54,73.948753
2020-08-21,2020-08-21,0.54,74.058044
2020-08-24,2020-08-24,0.53,74.640953
2020-08-25,2020-08-25,0.58,74.823135
2020-08-26,2020-08-26,0.58,74.121803
2020-08-27,2020-08-27,0.63,75.178337
2020-08-28,2020-08-28,0.64,75.642845
2020-08-31,2020-08-31,0.61,74.9142
2020-09-01,2020-09-01,0.56,74.996162
2020-09-02,2020-09-02,0.54,76.362396
2020-09-03,2020-09-03,0.52,75.415154
2020-09-04,2020-09-04,0.61,75.069038
2020-09-08,2020-09-08,0.5599999999999999,74.130898
2020-09-09,2020-09-09,0.59,74.804893
2020-09-10,2020-09-10,0.56,73.803024
2020-09-11,2020-09-11,0.56,73.39315
2020-09-14,2020-09-14,0.5700000000000001,75.360512
2020-09-15,2020-09-15,0.5700000000000001,76.234894
2020-09-16,2020-09-16,0.57,76.644753
2020-09-17,2020-09-17,0.6,75.205666
2020-09-18,2020-09-18,0.6,73.584419
2020-09-21,2020-09-21,0.5800000000000001,71.535095
2020-09-22,2020-09-22,0.5800000000000001,72.373032
2020-09-23,2020-09-23,0.5700000000000001,70.292061
2020-09-24,2020-09-24,0.5700000000000001,70.603615
2020-09-25,2020-09-25,0.56,72.033081
2020-09-28,2020-09-28,0.56,73.471718
2020-09-29,2020-09-29,0.5700000000000001,72.921928
2020-09-30,2020-09-30,0.59,73.160164
2020-10-01,2020-10-01,0.5900000000000001,74.571335
2020-10-02,2020-10-02,0.61,75.762566
2020-10-05,2020-10-05,0.68,76.184059
2020-10-06,2020-10-06,0.66,75.707581
2020-10-07,2020-10-07,0.7100000000000001,75.790047
2020-10-08,2020-10-08,0.6900000000000001,76.981293
2020-10-09,2020-10-09,0.6900000000000001,76.651428
2020-10-13,2020-10-13,0.63,75.872528
2020-10-14,2020-10-14,0.61,74.983681
2020-10-15,2020-10-15,0.63,75.295219
2020-10-16,2020-10-16,0.65,74.827911
2020-10-19,2020-10-19,0.67,73.61834
2020-10-20,2020-10-20,0.7100000000000001,74.168144
2020-10-21,2020-10-21,0.73,73.874924
2020-10-22,2020-10-22,0.78,73.783272
2020-10-23,2020-10-23,0.75,74.232277
2020-10-26,2020-10-26,0.7000000000000001,73.28846
2020-10-27,2020-10-27,0.6900000000000001,72.207176
2020-10-28,2020-10-28,0.6900000000000001,70.438667
2020-10-29,2020-10-29,0.76,71.510757
2020-10-30,2020-10-30,0.79,71.025116
2020-11-02,2020-11-02,0.78,72.811958
2020-11-03,2020-11-03,0.8,74.213959
2020-11-04,2020-11-04,0.68,74.369728
2020-11-05,2020-11-05,0.6900000000000001,74.607979
2020-11-06,2020-11-06,0.73,74.18647
2020-11-09,2020-11-09,0.85,76.330688
2020-11-10,2020-11-10,0.88,77.182892
2020-11-12,2020-11-12,0.78,76.74305
2020-11-13,2020-11-13,0.8,78.749825
2020-11-16,2020-11-16,0.8200000000000001,79.391243
2020-11-17,2020-11-17,0.78,79.455399
2020-11-18,2020-11-18,0.79,78.025902
2020-11-19,2020-11-19,0.79,78.181694
2020-11-20,2020-11-20,0.76,77.815155
2020-11-23,2020-11-23,0.78,77.751007
2020-11-24,2020-11-24,0.79,77.970932
2020-11-25,2020-11-25,0.79,78.035088
2020-11-27,2020-11-27,0.75,77.796814
2020-11-30,2020-11-30,0.76,77.118736
2020-12-01,2020-12-01,0.8300000000000001,77.998421
2020-12-02,2020-12-02,0.86,77.30201
2020-12-03,2020-12-03,0.8400000000000001,77.879295
2020-12-04,2020-12-04,0.88,79.024704
2020-12-07,2020-12-07,0.86,78.410774
2020-12-08,2020-12-08,0.8300000000000001,78.025902
2020-12-09,2020-12-09,0.87,77.43029
2020-12-10,2020-12-10,0.8400000000000001,76.981293
2020-12-11,2020-12-11,0.8200000000000001,77.017944
2020-12-14,2020-12-14,0.81,76.658928
2020-12-15,2020-12-15,0.8400000000000001,78.135628
2020-12-16,2020-12-16,0.8300000000000001,78.2556
2020-12-17,2020-12-17,0.86,79.021645
2020-12-18,2020-12-18,0.87,77.600311
2020-12-21,2020-12-21,0.86,77.101929
2020-12-22,2020-12-22,0.8400000000000001,77.711067
2020-12-23,2020-12-23,0.87,77.184998
2020-12-24,2020-12-24,0.85,77.794136
2020-12-28,2020-12-28,0.83,78.504799
2020-12-29,2020-12-29,0.84,77.867973
2020-12-30,2020-12-30,0.8500000000000001,78.218681
2020-12-31,2020-12-31,0.8400000000000001,79.049332
2021-01-04,2021-01-04,0.8400000000000001,76.363586
2021-01-05,2021-01-05,0.87,76.354355
2021-01-06,2021-01-06,0.9500000000000001,76.317451
2021-01-07,2021-01-07,0.9900000000000001,76.308212
2021-01-08,2021-01-08,1.0499999999999998,77.046555
2021-01-11,2021-01-11,1.0699999999999998,75.957497
2021-01-12,2021-01-12,1.0599999999999998,75.92981
2021-01-13,2021-01-13,1.01,76.861969
2021-01-14,2021-01-14,1.0599999999999998,77.194221
2021-01-15,2021-01-15,1.02,78.071007
2021-01-19,2021-01-19,1.01,77.858749
2021-01-20,2021-01-20,1.02,79.427727
2021-01-21,2021-01-21,1.03,79.187767
2021-01-22,2021-01-22,1.02,79.344658
2021-01-25,2021-01-25,0.9600000000000001,79.935333
2021-01-26,2021-01-26,0.98,80.5168
2021-01-27,2021-01-27,0.9600000000000001,79.178535
2021-01-28,2021-01-28,1.0,79.520027
2021-01-29,2021-01-29,1.05,78.707832
2021-02-01,2021-02-01,1.02,80.60907
2021-02-02,2021-02-02,1.05,81.042862
2021-02-03,2021-02-03,1.1099999999999999,80.82135
2021-02-04,2021-02-04,1.1099999999999999,81.282829
2021-02-05,2021-02-05,1.16,81.43972
2021-02-08,2021-02-08,1.14,81.661224
2021-02-09,2021-02-09,1.14,82.021172
2021-02-10,2021-02-10,1.0999999999999999,82.547249
2021-02-11,2021-02-11,1.1099999999999999,82.528793
2021-02-12,2021-02-12,1.16,82.639542
2021-02-16,2021-02-16,1.26,81.827362
2021-02-17,2021-02-17,1.25,81.716599
2021-02-18,2021-02-18,1.26,81.49511
2021-02-19,2021-02-19,1.3,81.873505
2021-02-22,2021-02-22,1.34,82.362656
2021-02-23,2021-02-23,1.33,82.824112
2021-02-24,2021-02-24,1.3499999999999999,83.267143
2021-02-25,2021-02-25,1.5,81.864258
2021-02-26,2021-02-26,1.4,80.618309
2021-03-01,2021-03-01,1.4,80.82135
2021-03-02,2021-03-02,1.38,80.166069
2021-03-03,2021-03-03,1.42,79.464653
2021-03-04,2021-03-04,1.5,78.680153
2021-03-05,2021-03-05,1.52,79.676918
2021-03-08,2021-03-08,1.54,80.332207
2021-03-09,2021-03-09,1.5,80.839813
2021-03-10,2021-03-10,1.49,81.615067
2021-03-11,2021-03-11,1.5,82.491867
2021-03-12,2021-03-12,1.5999999999999999,83.86705
2021-03-15,2021-03-15,1.58,85.020714
2021-03-16,2021-03-16,1.6,84.836121
2021-03-17,2021-03-17,1.6099999999999999,84.873047
2021-03-18,2021-03-18,1.7,84.125473
2021-03-19,2021-03-19,1.73,83.101021
2021-03-22,2021-03-22,1.66,83.839348
2021-03-23,2021-03-23,1.6199999999999999,83.848572
2021-03-24,2021-03-24,1.6,83.46096
2021-03-25,2021-03-25,1.6099999999999999,84.151001
2021-03-26,2021-03-26,1.65,86.015259
2021-03-29,2021-03-29,1.7,85.69062
2021-03-30,2021-03-30,1.71,85.625694
2021-03-31,2021-03-31,1.71,85.273262
2021-04-01,2021-04-01,1.67,86.794334
2021-04-05,2021-04-05,1.7,87.13752
2021-04-06,2021-04-06,1.65,87.369377
2021-04-07,2021-04-07,1.66,87.369377
2021-04-08,2021-04-08,1.63,87.156059
2021-04-09,2021-04-09,1.65,87.146797
2021-04-12,2021-04-12,1.67,87.619804
2021-04-13,2021-04-13,1.6099999999999999,88.148483
2021-04-14,2021-04-14,1.6199999999999999,87.610535
2021-04-15,2021-04-15,1.54,89.159431
2021-04-16,2021-04-16,1.57,89.335663
2021-04-19,2021-04-19,1.59,89.548988
2021-04-20,2021-04-20,1.55,90.485733
2021-04-21,2021-04-21,1.54,90.903122
2021-04-22,2021-04-22,1.54,90.53212
2021-04-23,2021-04-23,1.55,91.07933
2021-04-26,2021-04-26,1.55,91.227753
2021-04-27,2021-04-27,1.6199999999999999,91.255554
2021-04-28,2021-04-28,1.6199999999999999,90.87529
2021-04-29,2021-04-29,1.64,91.617279
2021-04-30,2021-04-30,1.64,91.997559
2021-05-03,2021-05-03,1.5899999999999999,91.849152
2021-05-04,2021-05-04,1.59,91.01442
2021-05-05,2021-05-05,1.57,89.697372
2021-05-06,2021-05-06,1.56,90.179688
2021-05-07,2021-05-07,1.58,91.441055
2021-05-10,2021-05-10,1.6099999999999999,91.478149
2021-05-11,2021-05-11,1.63,90.439392
2021-05-12,2021-05-12,1.67,88.204109
