,date,open,high,low,close,volume,dividend,stock_splits,ticker,fund_name,sector,USRECD_20250829,T10Y3M,spline,lagged_recession_periods,periods,deriv_spline
13257,2018-12-03,84.97,85.07,79.92,80.32,60593200,0.0,0,XLV,Health Care Select Sector SPDR Fund,Healthcare,0.0,0.6,0.45603485254538934,0.0,,-0.0010821881557095132
13258,2018-12-03,52.78,52.81,49.02,49.31,138700,0.0,0,ZUH.TO,BMO Equal Weight US Health Care Hedged to CAD Index ETF,Healthcare,0.0,0.6,0.45603485254538934,0.0,,-0.0010821881557095132
13259,2018-12-04,,,,,,,,,,,0.0,0.49,0.4549560691306659,0.0,,-0.001075135112051304
13260,2018-12-06,,,,,,,,,,,0.0,0.46,0.4538843477526777,0.0,,-0.0010680656587624755
13261,2018-12-07,,,,,,,,,,,0.0,0.45,0.4528197048228881,0.0,,-0.0010609797958430335
13262,2018-12-10,49.12,50.82,48.25,48.66,144500,0.0,0,ZUH.TO,BMO Equal Weight US Health Care Hedged to CAD Index ETF,Healthcare,0.0,0.43,0.45176215675275755,0.0,,-0.0010538775232929649
13263,2018-12-10,17.85,18.51,17.55,17.71,1484000,0.0,0,RSPH,Invesco S&P 500 Equal Weight Health Care ETF,Healthcare,0.0,0.43,0.45176215675275755,0.0,,-0.0010538775232929649
13264,2018-12-10,152.13,156.65,148.42,148.88,1793200,0.626,0,VHT,Vanguard Health Care Index Fund ETF,Healthcare,0.0,0.43,0.45176215675275755,0.0,,-0.0010538775232929649
13265,2018-12-10,101.32,104.68,99.43,100.08,8077500,0.0,0,IBB,iShares Biotechnology ETF,Healthcare,0.0,0.43,0.45176215675275755,0.0,,-0.0010538775232929649
13266,2018-12-10,33.17,34.58,32.78,33.1,3942600,0.0,0,IHI,iShares U.S. Medical Devices ETF,Healthcare,0.0,0.43,0.45176215675275755,0.0,,-0.0010538775232929649
13267,2018-12-10,39.62,40.75,38.77,38.9,3174200,0.0,0,FHLC,Fidelity MSCI Health Care Index ETF,Healthcare,0.0,0.43,0.45176215675275755,0.0,,-0.0010538775232929649
13268,2018-12-10,72.45,74.64,70.81,71.01,1059000,0.0,0,FXH,First Trust Health Care AlphaDEX Fund,Healthcare,0.0,0.43,0.45176215675275755,0.0,,-0.0010538775232929649
13269,2018-12-10,77.68,80.58,76.08,76.43,26163900,0.0,0,XBI,SPDR S&P Biotech ETF,Healthcare,0.0,0.43,0.45176215675275755,0.0,,-0.0010538775232929649
13270,2018-12-10,80.36,82.63,78.62,78.9,72575100,0.0,0,XLV,Health Care Select Sector SPDR Fund,Healthcare,0.0,0.43,0.45176215675275755,0.0,,-0.0010538775232929649
13271,2018-12-10,53.87,55.27,52.76,53.12,538800,0.0,0,IXJ,iShares Global Healthcare ETF,Healthcare,0.0,0.43,0.45176215675275755,0.0,,-0.0010538775232929649
13272,2018-12-10,34.92,35.87,34.15,34.27,3089000,0.0,0,IYH,iShares U.S. Healthcare ETF,Healthcare,0.0,0.43,0.45176215675275755,0.0,,-0.0010538775232929649
13273,2018-12-11,,,,,,,,,,,0.0,0.48,0.4507117199537498,0.0,,-0.0010467588411122771
13274,2018-12-12,,,,,,,,,,,0.0,0.48,0.4496684108373271,0.0,,-0.0010396237493009702
13275,2018-12-13,,,,,,,,,,,0.0,0.48,0.448632245814952,0.0,,-0.0010324722478590427
13276,2018-12-14,,,,,,,,,,,0.0,0.47,0.4476032412980878,0.0,,-0.0010253043367865022
13277,2018-12-17,52.77,53.02,49.53,49.68,1236100,0.347,0,IXJ,iShares Global Healthcare ETF,Healthcare,0.0,0.46,0.44658141369819515,0.0,,-0.0010181200160833358
13278,2018-12-17,33.81,34.05,31.69,31.73,6720500,0.1152,0,IYH,iShares U.S. Healthcare ETF,Healthcare,0.0,0.46,0.44658141369819515,0.0,,-0.0010181200160833358
13279,2018-12-17,99.72,101.52,88.83,89.21,19223800,0.0,0,IBB,iShares Biotechnology ETF,Healthcare,0.0,0.46,0.44658141369819515,0.0,,-0.0010181200160833358
13280,2018-12-17,32.83,32.92,30.49,30.58,14433600,0.04883,0,IHI,iShares U.S. Medical Devices ETF,Healthcare,0.0,0.46,0.44658141369819515,0.0,,-0.0010181200160833358
13281,2018-12-17,47.8,48.67,44.32,44.51,333500,0.0,0,ZUH.TO,BMO Equal Weight US Health Care Hedged to CAD Index ETF,Healthcare,0.0,0.46,0.44658141369819515,0.0,,-0.0010181200160833358
13282,2018-12-17,17.51,17.68,16.22,16.27,3235000,0.0,0,RSPH,Invesco S&P 500 Equal Weight Health Care ETF,Healthcare,0.0,0.46,0.44658141369819515,0.0,,-0.0010181200160833358
13283,2018-12-17,148.02,149.11,138.12,138.34,4354700,0.0,0,VHT,Vanguard Health Care Index Fund ETF,Healthcare,0.0,0.46,0.44658141369819515,0.0,,-0.0010181200160833358
13284,2018-12-17,75.93,77.56,65.1,65.43,53386000,0.012,0,XBI,SPDR S&P Biotech ETF,Healthcare,0.0,0.46,0.44658141369819515,0.0,,-0.0010181200160833358
13285,2018-12-17,78.08,78.74,73.18,73.33,124108400,0.38,0,XLV,Health Care Select Sector SPDR Fund,Healthcare,0.0,0.46,0.44658141369819515,0.0,,-0.0010181200160833358
13286,2018-12-17,38.57,38.8,35.77,35.83,2658400,0.147,0,FHLC,Fidelity MSCI Health Care Index ETF,Healthcare,0.0,0.46,0.44658141369819515,0.0,,-0.0010181200160833358
