date,open,high,low,close,volume,dividend,stock_splits,ticker,fund_name,sector,USRECD_20250829,T10Y3M,spline,lagged_recession_periods,periods
2016-05-23,56.33,57.62,56.14,57.45,526900,0,0,FXH,First Trust Health Care AlphaDEX Fund,Healthcare,0,1.49,1.84598200899349,0,
2016-05-23,38.1,39.14,38.1,39.05,61500,0,0,ZUH.TO,BMO Equal Weight US Health Care Hedged to CAD Index ETF,Healthcare,0,1.49,1.84598200899349,0,
2016-05-23,42.76,43.85,42.62,43.75,379400,0,0,IXJ,iShares Global Healthcare ETF,Healthcare,0,1.49,1.84598200899349,0,
2016-05-23,25.53,26.2,25.48,26.17,2181500,0,0,IYH,iShares U.S. Healthcare ETF,Healthcare,0,1.49,1.84598200899349,0,
2016-05-23,86.04,89.84,85.77,89.84,16470900,0,0,IBB,iShares Biotechnology ETF,Healthcare,0,1.49,1.84598200899349,0,
2016-05-23,20.74,21.11,20.68,21.11,3795000,0,0,IHI,iShares U.S. Medical Devices ETF,Healthcare,0,1.49,1.84598200899349,0,
2016-05-23,53.53,56.47,53.49,56.22,30930900,0,0,XBI,SPDR S&P Biotech ETF,Healthcare,0,1.49,1.84598200899349,0,
2016-05-23,59.38,60.87,59.18,60.74,40846000,0,0,XLV,Health Care Select Sector SPDR Fund,Healthcare,0,1.49,1.84598200899349,0,
2016-05-23,13.96,14.31,13.92,14.27,893000,0,0,RSPH,Invesco S&P 500 Equal Weight Health Care ETF,Healthcare,0,1.49,1.84598200899349,0,
2016-05-23,110.1,113.06,109.96,112.9,625500,0,0,VHT,Vanguard Health Care Index Fund ETF,Healthcare,0,1.49,1.84598200899349,0,
2016-05-24,,,,,,,,,,,0,1.51,1.84370318619534,0,
2016-05-25,,,,,,,,,,,0,1.54,1.84142174039003,0,
2016-05-26,,,,,,,,,,,0,1.52,1.83913768602241,0,
2016-05-27,,,,,,,,,,,0,1.53,1.83685103753736,0,
2016-05-31,,,,,,,,,,,0,1.5,1.83456180937974,0,
2016-06-01,,,,,,,,,,,0,1.55,1.83227001599443,0,
2016-06-02,,,,,,,,,,,0,1.52,1.8299756718263,0,
2016-06-03,,,,,,,,,,,0,1.41,1.8276787913202,0,
2016-06-06,91.77,93.3,86.59,87.05,24222000,0,0,IBB,iShares Biotechnology ETF,Healthcare,0,1.45,1.82537938892102,0,
2016-06-06,21.31,21.73,21.29,21.5,2749800,0,0,IHI,iShares U.S. Medical Devices ETF,Healthcare,0,1.45,1.82537938892102,0,
2016-06-06,29.82,30.1,29.49,29.58,519700,0,0,FHLC,Fidelity MSCI Health Care Index ETF,Healthcare,0,1.45,1.82537938892102,0,
2016-06-06,58.14,59.11,57.94,58.11,862400,0,0,FXH,First Trust Health Care AlphaDEX Fund,Healthcare,0,1.45,1.82537938892102,0,
2016-06-06,14.5,14.6,14.3,14.36,1046000,0,0,RSPH,Invesco S&P 500 Equal Weight Health Care ETF,Healthcare,0,1.45,1.82537938892102,0,
2016-06-06,114.65,115.67,113.3,113.7,711600,0,0,VHT,Vanguard Health Care Index Fund ETF,Healthcare,0,1.45,1.82537938892102,0,
2016-06-06,44.43,44.69,43.57,43.71,316400,0,0,IXJ,iShares Global Healthcare ETF,Healthcare,0,1.45,1.82537938892102,0,
2016-06-06,26.52,26.75,26.22,26.31,1377000,0,0,IYH,iShares U.S. Healthcare ETF,Healthcare,0,1.45,1.82537938892102,0,
2016-06-06,57.64,59.1,54.66,55.06,37676600,0,0,XBI,SPDR S&P Biotech ETF,Healthcare,0,1.45,1.82537938892102,0,
2016-06-06,61.69,62.15,60.97,61.25,40057400,0,0,XLV,Health Care Select Sector SPDR Fund,Healthcare,0,1.45,1.82537938892102,0,
2016-06-06,39.55,39.82,38.86,38.94,38200,0,0,ZUH.TO,BMO Equal Weight US Health Care Hedged to CAD Index ETF,Healthcare,0,1.45,1.82537938892102,0,
2016-06-07,,,,,,,,,,,0,1.44,1.82307747907362,0,
2016-06-08,,,,,,,,,,,0,1.47,1.82077307622286,0,
2016-06-09,,,,,,,,,,,0,1.42,1.81846619481363,0,
2016-06-10,,,,,,,,,,,0,1.38,1.81615684929078,0,
2016-06-13,38.96,39.04,38.12,38.22,21300,0,0,ZUH.TO,BMO Equal Weight US Health Care Hedged to CAD Index ETF,Healthcare,0,1.35,1.81384505409918,0,
2016-06-13,14.29,14.42,13.98,14.05,1758000,0.0092,0,RSPH,Invesco S&P 500 Equal Weight Health Care ETF,Healthcare,0,1.35,1.81384505409918,0,
2016-06-13,113.39,114.29,110.96,111.24,626100,0,0,VHT,Vanguard Health Care Index Fund ETF,Healthcare,0,1.35,1.81384505409918,0,
2016-06-13,86.38,87.82,83.39,83.4,25833900,0,0,IBB,iShares Biotechnology ETF,Healthcare,0,1.35,1.81384505409918,0,
2016-06-13,21.42,21.58,20.91,21.04,2747400,0,0,IHI,iShares U.S. Medical Devices ETF,Healthcare,0,1.35,1.81384505409918,0,
2016-06-13,29.5,29.74,28.79,28.84,373400,0.111,0,FHLC,Fidelity MSCI Health Care Index ETF,Healthcare,0,1.35,1.81384505409918,0,
2016-06-13,57.87,58.31,56.63,56.95,490600,0,0,FXH,First Trust Health Care AlphaDEX Fund,Healthcare,0,1.35,1.81384505409918,0,
2016-06-13,54.52,55.57,52.63,52.79,39029900,0.046,0,XBI,SPDR S&P Biotech ETF,Healthcare,0,1.35,1.81384505409918,0,
2016-06-13,61.03,61.49,59.56,59.78,44540300,0.285,0,XLV,Health Care Select Sector SPDR Fund,Healthcare,0,1.35,1.81384505409918,0,
2016-06-13,43.57,43.83,42.44,42.8,1813200,0,0,IXJ,iShares Global Healthcare ETF,Healthcare,0,1.35,1.81384505409918,0,
2016-06-13,26.21,26.44,25.71,25.77,2041500,0,0,IYH,iShares U.S. Healthcare ETF,Healthcare,0,1.35,1.81384505409918,0,
2016-06-14,,,,,,,,,,,0,1.35,1.81153082368372,0,
2016-06-15,,,,,,,,,,,0,1.34,1.80921417248924,0,
2016-06-16,,,,,,,,,,,0,1.3,1.80689511496063,0,
2016-06-17,,,,,,,,,,,0,1.35,1.80457366554274,0,
2016-06-20,43.41,43.57,42.01,42.01,532800,0.4575,0,IXJ,iShares Global Healthcare ETF,Healthcare,0,1.39,1.80224983868046,0,
2016-06-20,25.99,26.19,25.33,25.44,2780500,0.0976,0,IYH,iShares U.S. Healthcare ETF,Healthcare,0,1.39,1.80224983868046,0,
2016-06-20,84.36,85.43,80.94,81.01,39296400,0.054,0,IBB,iShares Biotechnology ETF,Healthcare,0,1.39,1.80224983868046,0,
2016-06-20,21.26,21.73,20.98,21.02,1751400,0.02567,0,IHI,iShares U.S. Medical Devices ETF,Healthcare,0,1.39,1.80224983868046,0,
2016-06-20,38.59,38.96,37.43,37.9,49600,0,0,ZUH.TO,BMO Equal Weight US Health Care Hedged to CAD Index ETF,Healthcare,0,1.39,1.80224983868046,0,
2016-06-20,14.16,14.37,13.87,13.9,1099000,0,0,RSPH,Invesco S&P 500 Equal Weight Health Care ETF,Healthcare,0,1.39,1.80224983868046,0,
2016-06-20,112.25,113.15,109.3,109.81,816100,0.429,0,VHT,Vanguard Health Care Index Fund ETF,Healthcare,0,1.39,1.80224983868046,0,
